[2025-03-12T22:07:39.392+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-03-12T22:07:39.414+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: data_lake_pipeline.transform_staging_to_curated manual__2025-03-12T22:06:55.248425+00:00 [queued]>
[2025-03-12T22:07:39.427+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: data_lake_pipeline.transform_staging_to_curated manual__2025-03-12T22:06:55.248425+00:00 [queued]>
[2025-03-12T22:07:39.428+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 2
[2025-03-12T22:07:39.445+0000] {taskinstance.py:2890} INFO - Executing <Task(PythonOperator): transform_staging_to_curated> on 2025-03-12 22:06:55.248425+00:00
[2025-03-12T22:07:39.451+0000] {standard_task_runner.py:72} INFO - Started process 236 to run task
[2025-03-12T22:07:39.456+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'data_lake_pipeline', 'transform_staging_to_curated', 'manual__2025-03-12T22:06:55.248425+00:00', '--job-id', '32', '--raw', '--subdir', 'DAGS_FOLDER/data_pipeline_dag.py', '--cfg-path', '/tmp/tmpnohy6h64']
[2025-03-12T22:07:39.458+0000] {standard_task_runner.py:105} INFO - Job 32: Subtask transform_staging_to_curated
[2025-03-12T22:07:39.481+0000] {logging_mixin.py:190} WARNING - /usr/local/lib/python3.10/site-packages/***/settings.py:209 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-03-12T22:07:39.524+0000] {task_command.py:467} INFO - Running <TaskInstance: data_lake_pipeline.transform_staging_to_curated manual__2025-03-12T22:06:55.248425+00:00 [running]> on host ***-scheduler
[2025-03-12T22:07:39.633+0000] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='data_lake_pipeline' AIRFLOW_CTX_TASK_ID='transform_staging_to_curated' AIRFLOW_CTX_EXECUTION_DATE='2025-03-12T22:06:55.248425+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-03-12T22:06:55.248425+00:00'
[2025-03-12T22:07:39.640+0000] {taskinstance.py:732} INFO - ::endgroup::
[2025-03-12T22:07:39.663+0000] {manage_buckets.py:68} INFO - [Data manager] Prefix(s) : ['test', 'train', 'validation']
[2025-03-12T22:07:39.663+0000] {manage_buckets.py:71} INFO - [Data manager] Processing data from: test
[2025-03-12T22:07:39.664+0000] {aws_s3_repository.py:35} INFO - [AWS S3] Getting list of staging's files...
[2025-03-12T22:07:39.715+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_0.txt from staging...
[2025-03-12T22:07:39.734+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_0.txt...
[2025-03-12T22:07:41.173+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_1.txt from staging...
[2025-03-12T22:07:41.180+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_1.txt...
[2025-03-12T22:07:41.375+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_10.txt from staging...
